Model,F1 Score,AUC,Accuracy
Logistic Regression,0.5598110006170796,0.6584542258705818,0.6258754299448842
Random Forest,0.4934307860616708,0.6446357175527335,0.6077245037503626
XGBoost,0.5692207940746131,0.6301066751474105,0.6208196925117069
